T,Value,Time,Acceleration
1,0xd11b3076741e2e87,12230,1
2,0xd11b3076741e2e87,6290,1.94436
3,0xd11b3076741e2e87,4353,2.80956
4,0xd11b3076741e2e87,3335,3.66717
5,0xd11b3076741e2e87,2754,4.44081
6,0xd11b3076741e2e87,2207,5.54146
7,0xd11b3076741e2e87,1966,6.22075
8,0xd11b3076741e2e87,1719,7.1146
9,0xd11b3076741e2e87,1524,8.02493
10,0xd11b3076741e2e87,1341,9.12006
11,0xd11b3076741e2e87,1219,10.0328
12,0xd11b3076741e2e87,1130,10.823
13,0xd11b3076741e2e87,1113,10.9883
14,0xd11b3076741e2e87,968,12.6343
15,0xd11b3076741e2e87,971,12.5953
16,0xd11b3076741e2e87,900,13.5889
17,0xd11b3076741e2e87,912,13.4101
18,0xd11b3076741e2e87,862,14.1879
19,0xd11b3076741e2e87,817,14.9694
20,0xd11b3076741e2e87,773,15.8215
21,0xd11b3076741e2e87,759,16.1133
22,0xd11b3076741e2e87,721,16.9626
23,0xd11b3076741e2e87,691,17.699
24,0xd11b3076741e2e87,660,18.5303
25,0xd11b3076741e2e87,635,19.2598
26,0xd11b3076741e2e87,612,19.9837
27,0xd11b3076741e2e87,591,20.6937
28,0xd11b3076741e2e87,566,21.6078
29,0xd11b3076741e2e87,549,22.2769
30,0xd11b3076741e2e87,530,23.0755
31,0xd11b3076741e2e87,514,23.7938
32,0xd11b3076741e2e87,495,24.7071
33,0xd11b3076741e2e87,485,25.2165
34,0xd11b3076741e2e87,468,26.1325
35,0xd11b3076741e2e87,454,26.9383
36,0xd11b3076741e2e87,441,27.7324
37,0xd11b3076741e2e87,434,28.1797
38,0xd11b3076741e2e87,421,29.0499
39,0xd11b3076741e2e87,412,29.6845
40,0xd11b3076741e2e87,400,30.575
41,0xd11b3076741e2e87,408,29.9755
42,0xd11b3076741e2e87,382,32.0157
43,0xd11b3076741e2e87,373,32.7882
44,0xd11b3076741e2e87,364,33.5989
45,0xd11b3076741e2e87,389,31.4396
46,0xd11b3076741e2e87,367,33.3243
47,0xd11b3076741e2e87,387,31.6021
48,0xd11b3076741e2e87,403,30.3474

